museum,year,month,visits
TYNE & WEAR TOTAL,2013,8,"218,349"
TYNE & WEAR TOTAL,2013,9,"132,978"
TYNE & WEAR TOTAL,2013,10,"150,347"
TYNE & WEAR TOTAL,2013,11,"129,411"
TYNE & WEAR TOTAL,2013,12,"86,663"
TYNE & WEAR TOTAL,2014,1,"106,197"
TYNE & WEAR TOTAL,2014,2,"172,744"
TYNE & WEAR TOTAL,2014,3,"137,115"
TYNE & WEAR TOTAL,2014,4,"187,221"
TYNE & WEAR TOTAL,2014,5,"178,653"
TYNE & WEAR TOTAL,2014,6,"131,255"
TYNE & WEAR TOTAL,2014,7,"155,660"
TYNE & WEAR TOTAL,2014,8,"226,296"
TYNE & WEAR TOTAL,2014,9,"121,178"
TYNE & WEAR TOTAL,2014,10,"162,945"
TYNE & WEAR TOTAL,2014,11,"133,540"
TYNE & WEAR TOTAL,2014,12,"93,771"
TYNE & WEAR TOTAL,2015,1,"104,268"
TYNE & WEAR TOTAL,2015,2,"160,860"
TYNE & WEAR TOTAL,2015,3,"129,292"
TYNE & WEAR TOTAL,2015,4,0
TYNE & WEAR TOTAL,2015,5,0
TYNE & WEAR TOTAL,2015,6,0
TYNE & WEAR TOTAL,2015,7,0
TYNE & WEAR TOTAL,2015,8,0
TYNE & WEAR TOTAL,2015,9,0
TYNE & WEAR TOTAL,2015,10,0
TYNE & WEAR TOTAL,2015,11,0
TYNE & WEAR TOTAL,2015,12,0
TYNE & WEAR TOTAL,2016,1,0
TYNE & WEAR TOTAL,2016,2,0
TYNE & WEAR TOTAL,2016,3,0
TYNE & WEAR TOTAL,2016,4,0
TYNE & WEAR TOTAL,2016,5,0
TYNE & WEAR TOTAL,2016,6,0
TYNE & WEAR TOTAL,2016,7,0
TYNE & WEAR TOTAL,2016,8,0
TYNE & WEAR TOTAL,2016,9,0
TYNE & WEAR TOTAL,2016,10,0
TYNE & WEAR TOTAL,2016,11,0
TYNE & WEAR TOTAL,2016,12,0
TYNE & WEAR TOTAL,2017,1,0
TYNE & WEAR TOTAL,2017,2,0
TYNE & WEAR TOTAL,2017,3,0
TYNE & WEAR TOTAL,2017,4,0
TYNE & WEAR TOTAL,2017,5,0
TYNE & WEAR TOTAL,2017,6,0
TYNE & WEAR TOTAL,2017,7,0
TYNE & WEAR TOTAL,2017,8,0
TYNE & WEAR TOTAL,2017,9,0
TYNE & WEAR TOTAL,2017,10,0
TYNE & WEAR TOTAL,2017,11,0
TYNE & WEAR TOTAL,2017,12,0
TYNE & WEAR TOTAL,2018,1,0
TYNE & WEAR TOTAL,2018,2,0
TYNE & WEAR TOTAL,2018,3,0
(T&W) ARBEIA,2004,4,"10,500"
(T&W) ARBEIA,2004,5,"11,434"
(T&W) ARBEIA,2004,6,"15,254"
(T&W) ARBEIA,2004,7,"8,831"
(T&W) ARBEIA,2004,8,"8,519"
(T&W) ARBEIA,2004,9,"10,458"
(T&W) ARBEIA,2004,10,"6,552"
(T&W) ARBEIA,2004,11,"6,646"
(T&W) ARBEIA,2004,12,"4,000"
(T&W) ARBEIA,2005,1,"2,034"
(T&W) ARBEIA,2005,2,"4,635"
(T&W) ARBEIA,2005,3,"9,385"
(T&W) ARBEIA,2005,4,"10,474"
(T&W) ARBEIA,2005,5,"11,275"
(T&W) ARBEIA,2005,6,"14,305"
(T&W) ARBEIA,2005,7,"12,043"
(T&W) ARBEIA,2005,8,"10,980"
(T&W) ARBEIA,2005,9,"8,971"
(T&W) ARBEIA,2005,10,"9,257"
(T&W) ARBEIA,2005,11,"6,733"
(T&W) ARBEIA,2005,12,"3,781"
(T&W) ARBEIA,2006,1,"1,864"
(T&W) ARBEIA,2006,2,"2,807"
(T&W) ARBEIA,2006,3,"3,803"
(T&W) ARBEIA,2006,4,"6,571"
(T&W) ARBEIA,2006,5,"6,910"
(T&W) ARBEIA,2006,6,"8,218"
(T&W) ARBEIA,2006,7,"11,264"
(T&W) ARBEIA,2006,8,"10,492"
(T&W) ARBEIA,2006,9,"8,900"
(T&W) ARBEIA,2006,10,"8,326"
(T&W) ARBEIA,2006,11,"5,832"
(T&W) ARBEIA,2006,12,"2,543"
(T&W) ARBEIA,2007,1,"2,058"
(T&W) ARBEIA,2007,2,"3,341"
(T&W) ARBEIA,2007,3,"4,830"
(T&W) ARBEIA,2007,4,"7,233"
(T&W) ARBEIA,2007,5,"6,978"
(T&W) ARBEIA,2007,6,"7,943"
(T&W) ARBEIA,2007,7,"9,905"
(T&W) ARBEIA,2007,8,"9,888"
(T&W) ARBEIA,2007,9,"9,415"
(T&W) ARBEIA,2007,10,"8,955"
(T&W) ARBEIA,2007,11,"4,927"
(T&W) ARBEIA,2007,12,"2,182"
(T&W) ARBEIA,2008,1,"2,398"
(T&W) ARBEIA,2008,2,"3,792"
(T&W) ARBEIA,2008,3,"4,972"
(T&W) ARBEIA,2008,4,"6,618"
(T&W) ARBEIA,2008,5,"7,552"
(T&W) ARBEIA,2008,6,"6,623"
(T&W) ARBEIA,2008,7,"7,855"
(T&W) ARBEIA,2008,8,"10,030"
(T&W) ARBEIA,2008,9,"7,085"
(T&W) ARBEIA,2008,10,"7,059"
(T&W) ARBEIA,2008,11,"3,639"
(T&W) ARBEIA,2008,12,"1,492"
(T&W) ARBEIA,2009,1,"1,921"
(T&W) ARBEIA,2009,2,"2,777"
(T&W) ARBEIA,2009,3,"4,287"
(T&W) ARBEIA,2009,4,"5,215"
(T&W) ARBEIA,2009,5,"5,291"
(T&W) ARBEIA,2009,6,"5,227"
(T&W) ARBEIA,2009,7,"5,114"
(T&W) ARBEIA,2009,8,"8,145"
(T&W) ARBEIA,2009,9,"3,387"
(T&W) ARBEIA,2009,10,"4,717"
(T&W) ARBEIA,2009,11,"2,630"
(T&W) ARBEIA,2009,12,"1,155"
(T&W) ARBEIA,2010,1,"1,454"
(T&W) ARBEIA,2010,2,"2,519"
(T&W) ARBEIA,2010,3,"3,381"
(T&W) ARBEIA,2010,4,"5,028"
(T&W) ARBEIA,2010,5,"5,547"
(T&W) ARBEIA,2010,6,"6,025"
(T&W) ARBEIA,2010,7,"5,992"
(T&W) ARBEIA,2010,8,"7,896"
(T&W) ARBEIA,2010,9,"5,831"
(T&W) ARBEIA,2010,10,"4,655"
(T&W) ARBEIA,2010,11,329
(T&W) ARBEIA,2010,12,110
(T&W) ARBEIA,2011,1,131
(T&W) ARBEIA,2011,2,51
(T&W) ARBEIA,2011,3,379
(T&W) ARBEIA,2011,4,"6,555"
(T&W) ARBEIA,2011,5,"5,998"
(T&W) ARBEIA,2011,6,"7,866"
(T&W) ARBEIA,2011,7,"8,636"
(T&W) ARBEIA,2011,8,"10,152"
(T&W) ARBEIA,2011,9,"5,948"
(T&W) ARBEIA,2011,10,"1,815"
(T&W) ARBEIA,2011,11,967
(T&W) ARBEIA,2011,12,355
(T&W) ARBEIA,2012,1,219
(T&W) ARBEIA,2012,2,353
(T&W) ARBEIA,2012,3,474
(T&W) ARBEIA,2012,4,"3,874"
(T&W) ARBEIA,2012,5,"3,791"
(T&W) ARBEIA,2012,6,"3,725"
(T&W) ARBEIA,2012,7,"3,453"
(T&W) ARBEIA,2012,8,"4,627"
(T&W) ARBEIA,2012,9,"2,689"
(T&W) ARBEIA,2012,10,"1,412"
(T&W) ARBEIA,2012,11,423
(T&W) ARBEIA,2012,12,207
(T&W) ARBEIA,2013,1,412
(T&W) ARBEIA,2013,2,8
(T&W) ARBEIA,2013,3,"3,759"
(T&W) ARBEIA,2013,4,"3,241"
(T&W) ARBEIA,2013,5,"3,720"
(T&W) ARBEIA,2013,6,"4,646"
(T&W) ARBEIA,2013,7,"5,437"
(T&W) ARBEIA,2013,8,"5,943"
(T&W) ARBEIA,2013,9,"4,165"
(T&W) ARBEIA,2013,10,"1,332"
(T&W) ARBEIA,2013,11,963
(T&W) ARBEIA,2013,12,78
(T&W) ARBEIA,2014,1,0
(T&W) ARBEIA,2014,2,168
(T&W) ARBEIA,2014,3,929
(T&W) ARBEIA,2014,4,"4,206"
(T&W) ARBEIA,2014,5,"3,557"
(T&W) ARBEIA,2014,6,"4,737"
(T&W) ARBEIA,2014,7,"4,999"
(T&W) ARBEIA,2014,8,"6,013"
(T&W) ARBEIA,2014,9,"3,922"
(T&W) ARBEIA,2014,10,"2,264"
(T&W) ARBEIA,2014,11,551
(T&W) ARBEIA,2014,12,213
(T&W) ARBEIA,2015,1,225
(T&W) ARBEIA,2015,2,246
(T&W) ARBEIA,2015,3,"1,104"
(T&W) ARBEIA,2015,4,0
(T&W) ARBEIA,2015,5,0
(T&W) ARBEIA,2015,6,0
(T&W) ARBEIA,2015,7,0
(T&W) ARBEIA,2015,8,0
(T&W) ARBEIA,2015,9,0
(T&W) ARBEIA,2015,10,0
(T&W) ARBEIA,2015,11,0
(T&W) ARBEIA,2015,12,0
(T&W) ARBEIA,2016,1,0
(T&W) ARBEIA,2016,2,0
(T&W) ARBEIA,2016,3,0
(T&W) ARBEIA,2016,4,0
(T&W) ARBEIA,2016,5,0
(T&W) ARBEIA,2016,6,0
(T&W) ARBEIA,2016,7,0
(T&W) ARBEIA,2016,8,0
(T&W) ARBEIA,2016,9,0
(T&W) ARBEIA,2016,10,0
(T&W) ARBEIA,2016,11,0
(T&W) ARBEIA,2016,12,0
(T&W) ARBEIA,2017,1,0
(T&W) ARBEIA,2017,2,0
(T&W) ARBEIA,2017,3,0
(T&W) ARBEIA,2017,4,0
(T&W) ARBEIA,2017,5,0
(T&W) ARBEIA,2017,6,0
(T&W) ARBEIA,2017,7,0
(T&W) ARBEIA,2017,8,0
(T&W) ARBEIA,2017,9,0
(T&W) ARBEIA,2017,10,0
(T&W) ARBEIA,2017,11,0
(T&W) ARBEIA,2017,12,0
(T&W) ARBEIA,2018,1,0
(T&W) ARBEIA,2018,2,0
(T&W) ARBEIA,2018,3,0
(T&W) DISCOVERY,2004,4,"37,919"
(T&W) DISCOVERY,2004,5,"22,877"
(T&W) DISCOVERY,2004,6,"41,726"
(T&W) DISCOVERY,2004,7,"42,757"
(T&W) DISCOVERY,2004,8,"70,520"
(T&W) DISCOVERY,2004,9,"32,843"
(T&W) DISCOVERY,2004,10,"41,877"
(T&W) DISCOVERY,2004,11,"25,377"
(T&W) DISCOVERY,2004,12,"26,415"
(T&W) DISCOVERY,2005,1,"28,516"
(T&W) DISCOVERY,2005,2,"42,723"
(T&W) DISCOVERY,2005,3,"54,246"
(T&W) DISCOVERY,2005,4,"38,475"
(T&W) DISCOVERY,2005,5,"31,323"
(T&W) DISCOVERY,2005,6,"38,963"
(T&W) DISCOVERY,2005,7,"40,800"
(T&W) DISCOVERY,2005,8,"51,073"
(T&W) DISCOVERY,2005,9,"26,426"
(T&W) DISCOVERY,2005,10,"39,518"
(T&W) DISCOVERY,2005,11,"30,083"
(T&W) DISCOVERY,2005,12,"31,646"
(T&W) DISCOVERY,2006,1,"25,935"
(T&W) DISCOVERY,2006,2,"45,408"
(T&W) DISCOVERY,2006,3,"30,839"
(T&W) DISCOVERY,2006,4,"38,635"
(T&W) DISCOVERY,2006,5,"31,684"
(T&W) DISCOVERY,2006,6,"25,423"
(T&W) DISCOVERY,2006,7,"30,574"
(T&W) DISCOVERY,2006,8,"64,674"
(T&W) DISCOVERY,2006,9,"29,698"
(T&W) DISCOVERY,2006,10,"41,986"
(T&W) DISCOVERY,2006,11,"30,690"
(T&W) DISCOVERY,2006,12,"25,777"
(T&W) DISCOVERY,2007,1,"31,508"
(T&W) DISCOVERY,2007,2,"45,285"
(T&W) DISCOVERY,2007,3,"37,449"
(T&W) DISCOVERY,2007,4,"33,627"
(T&W) DISCOVERY,2007,5,"39,391"
(T&W) DISCOVERY,2007,6,"35,120"
(T&W) DISCOVERY,2007,7,"42,392"
(T&W) DISCOVERY,2007,8,"60,398"
(T&W) DISCOVERY,2007,9,"29,561"
(T&W) DISCOVERY,2007,10,"37,854"
(T&W) DISCOVERY,2007,11,"29,265"
(T&W) DISCOVERY,2007,12,"20,856"
(T&W) DISCOVERY,2008,1,"30,394"
(T&W) DISCOVERY,2008,2,"44,452"
(T&W) DISCOVERY,2008,3,"36,554"
(T&W) DISCOVERY,2008,4,"43,530"
(T&W) DISCOVERY,2008,5,"34,383"
(T&W) DISCOVERY,2008,6,"33,377"
(T&W) DISCOVERY,2008,7,"42,691"
(T&W) DISCOVERY,2008,8,"66,366"
(T&W) DISCOVERY,2008,9,"33,472"
(T&W) DISCOVERY,2008,10,"42,383"
(T&W) DISCOVERY,2008,11,"31,393"
(T&W) DISCOVERY,2008,12,"23,747"
(T&W) DISCOVERY,2009,1,"30,965"
(T&W) DISCOVERY,2009,2,"44,793"
(T&W) DISCOVERY,2009,3,"39,252"
(T&W) DISCOVERY,2009,4,"42,789"
(T&W) DISCOVERY,2009,5,"37,626"
(T&W) DISCOVERY,2009,6,"31,034"
(T&W) DISCOVERY,2009,7,"46,679"
(T&W) DISCOVERY,2009,8,"56,783"
(T&W) DISCOVERY,2009,9,"31,888"
(T&W) DISCOVERY,2009,10,"40,902"
(T&W) DISCOVERY,2009,11,"26,712"
(T&W) DISCOVERY,2009,12,"20,461"
(T&W) DISCOVERY,2010,1,"25,110"
(T&W) DISCOVERY,2010,2,"44,844"
(T&W) DISCOVERY,2010,3,"41,741"
(T&W) DISCOVERY,2010,4,"34,892"
(T&W) DISCOVERY,2010,5,"31,394"
(T&W) DISCOVERY,2010,6,"31,022"
(T&W) DISCOVERY,2010,7,"44,625"
(T&W) DISCOVERY,2010,8,"57,881"
(T&W) DISCOVERY,2010,9,"30,236"
(T&W) DISCOVERY,2010,10,"36,331"
(T&W) DISCOVERY,2010,11,"24,755"
(T&W) DISCOVERY,2010,12,"18,006"
(T&W) DISCOVERY,2011,1,"25,984"
(T&W) DISCOVERY,2011,2,"46,681"
(T&W) DISCOVERY,2011,3,"42,252"
(T&W) DISCOVERY,2011,4,"27,041"
(T&W) DISCOVERY,2011,5,"30,199"
(T&W) DISCOVERY,2011,6,"31,674"
(T&W) DISCOVERY,2011,7,"35,619"
(T&W) DISCOVERY,2011,8,"57,890"
(T&W) DISCOVERY,2011,9,"27,222"
(T&W) DISCOVERY,2011,10,"38,186"
(T&W) DISCOVERY,2011,11,"27,206"
(T&W) DISCOVERY,2011,12,"26,598"
(T&W) DISCOVERY,2012,1,"29,167"
(T&W) DISCOVERY,2012,2,"43,320"
(T&W) DISCOVERY,2012,3,"31,642"
(T&W) DISCOVERY,2012,4,"47,668"
(T&W) DISCOVERY,2012,5,"31,192"
(T&W) DISCOVERY,2012,6,"40,158"
(T&W) DISCOVERY,2012,7,"39,348"
(T&W) DISCOVERY,2012,8,"56,825"
(T&W) DISCOVERY,2012,9,"20,302"
(T&W) DISCOVERY,2012,10,"37,202"
(T&W) DISCOVERY,2012,11,"32,886"
(T&W) DISCOVERY,2012,12,"22,431"
(T&W) DISCOVERY,2013,1,"27,022"
(T&W) DISCOVERY,2013,2,"43,229"
(T&W) DISCOVERY,2013,3,"37,796"
(T&W) DISCOVERY,2013,4,"40,222"
(T&W) DISCOVERY,2013,5,"34,773"
(T&W) DISCOVERY,2013,6,"26,804"
(T&W) DISCOVERY,2013,7,"34,886"
(T&W) DISCOVERY,2013,8,"45,930"
(T&W) DISCOVERY,2013,9,"27,541"
(T&W) DISCOVERY,2013,10,"37,000"
(T&W) DISCOVERY,2013,11,"26,893"
(T&W) DISCOVERY,2013,12,"19,509"
(T&W) DISCOVERY,2014,1,"29,308"
(T&W) DISCOVERY,2014,2,"54,794"
(T&W) DISCOVERY,2014,3,"35,404"
(T&W) DISCOVERY,2014,4,"43,503"
(T&W) DISCOVERY,2014,5,"37,266"
(T&W) DISCOVERY,2014,6,"28,125"
(T&W) DISCOVERY,2014,7,"32,342"
(T&W) DISCOVERY,2014,8,"58,374"
(T&W) DISCOVERY,2014,9,"23,760"
(T&W) DISCOVERY,2014,10,"38,439"
(T&W) DISCOVERY,2014,11,"28,010"
(T&W) DISCOVERY,2014,12,"24,003"
(T&W) DISCOVERY,2015,1,"30,152"
(T&W) DISCOVERY,2015,2,"39,575"
(T&W) DISCOVERY,2015,3,"28,662"
(T&W) DISCOVERY,2015,4,0
(T&W) DISCOVERY,2015,5,0
(T&W) DISCOVERY,2015,6,0
(T&W) DISCOVERY,2015,7,0
(T&W) DISCOVERY,2015,8,0
(T&W) DISCOVERY,2015,9,0
(T&W) DISCOVERY,2015,10,0
(T&W) DISCOVERY,2015,11,0
(T&W) DISCOVERY,2015,12,0
(T&W) DISCOVERY,2016,1,0
(T&W) DISCOVERY,2016,2,0
(T&W) DISCOVERY,2016,3,0
(T&W) DISCOVERY,2016,4,0
(T&W) DISCOVERY,2016,5,0
(T&W) DISCOVERY,2016,6,0
(T&W) DISCOVERY,2016,7,0
(T&W) DISCOVERY,2016,8,0
(T&W) DISCOVERY,2016,9,0
(T&W) DISCOVERY,2016,10,0
(T&W) DISCOVERY,2016,11,0
(T&W) DISCOVERY,2016,12,0
(T&W) DISCOVERY,2017,1,0
(T&W) DISCOVERY,2017,2,0
(T&W) DISCOVERY,2017,3,0
(T&W) DISCOVERY,2017,4,0
(T&W) DISCOVERY,2017,5,0
(T&W) DISCOVERY,2017,6,0
(T&W) DISCOVERY,2017,7,0
(T&W) DISCOVERY,2017,8,0
(T&W) DISCOVERY,2017,9,0
(T&W) DISCOVERY,2017,10,0
(T&W) DISCOVERY,2017,11,0
(T&W) DISCOVERY,2017,12,0
(T&W) DISCOVERY,2018,1,0
(T&W) DISCOVERY,2018,2,0
(T&W) DISCOVERY,2018,3,0
(T&W) HANCOCK,2004,4,"13,687"
(T&W) HANCOCK,2004,5,"3,872"
(T&W) HANCOCK,2004,6,"4,228"
(T&W) HANCOCK,2004,7,"6,000"
(T&W) HANCOCK,2004,8,"14,027"
(T&W) HANCOCK,2004,9,"7,118"
(T&W) HANCOCK,2004,10,"7,971"
(T&W) HANCOCK,2004,11,"4,078"
(T&W) HANCOCK,2004,12,"3,818"
(T&W) HANCOCK,2005,1,"2,741"
(T&W) HANCOCK,2005,2,"9,294"
(T&W) HANCOCK,2005,3,"10,418"
(T&W) HANCOCK,2005,4,"8,098"
(T&W) HANCOCK,2005,5,"5,523"
(T&W) HANCOCK,2005,6,"5,773"
(T&W) HANCOCK,2005,7,"4,319"
(T&W) HANCOCK,2005,8,"9,941"
(T&W) HANCOCK,2005,9,"5,257"
(T&W) HANCOCK,2005,10,"8,407"
(T&W) HANCOCK,2005,11,"5,539"
(T&W) HANCOCK,2005,12,"3,064"
(T&W) HANCOCK,2006,1,"5,168"
(T&W) HANCOCK,2006,2,"8,712"
(T&W) HANCOCK,2006,3,"6,893"
(T&W) HANCOCK,2006,4,"2,121"
(T&W) HANCOCK,2006,5,0
(T&W) HANCOCK,2006,6,0
(T&W) HANCOCK,2006,7,0
(T&W) HANCOCK,2006,8,0
(T&W) HANCOCK,2006,9,0
(T&W) HANCOCK,2006,10,0
(T&W) HANCOCK,2006,11,0
(T&W) HANCOCK,2006,12,0
(T&W) HANCOCK,2007,1,0
(T&W) HANCOCK,2007,2,0
(T&W) HANCOCK,2007,3,0
(T&W) HANCOCK,2007,4,0
(T&W) HANCOCK,2007,5,0
(T&W) HANCOCK,2007,6,0
(T&W) HANCOCK,2007,7,0
(T&W) HANCOCK,2007,8,0
(T&W) HANCOCK,2007,9,0
(T&W) HANCOCK,2007,10,0
(T&W) HANCOCK,2007,11,0
(T&W) HANCOCK,2007,12,0
(T&W) HANCOCK,2008,1,0
(T&W) HANCOCK,2008,2,0
(T&W) HANCOCK,2008,3,0
(T&W) HANCOCK,2008,4,0
(T&W) HANCOCK,2008,5,0
(T&W) HANCOCK,2008,6,0
(T&W) HANCOCK,2008,7,0
(T&W) HANCOCK,2008,8,0
(T&W) HANCOCK,2008,9,0
(T&W) HANCOCK,2008,10,0
(T&W) HANCOCK,2008,11,0
(T&W) HANCOCK,2008,12,0
(T&W) HANCOCK,2009,1,0
(T&W) HANCOCK,2009,2,0
(T&W) HANCOCK,2009,3,0
(T&W) HANCOCK,2009,4,0
(T&W) HANCOCK,2009,5,0
(T&W) HANCOCK,2009,6,0
(T&W) HANCOCK,2009,7,0
(T&W) HANCOCK,2009,8,0
(T&W) HANCOCK,2009,9,0
(T&W) HANCOCK,2009,10,0
(T&W) HANCOCK,2009,11,0
(T&W) HANCOCK,2009,12,0
(T&W) HANCOCK,2010,1,0
(T&W) HANCOCK,2010,2,0
(T&W) HANCOCK,2010,3,0
(T&W) HANCOCK,2010,4,0
(T&W) HANCOCK,2010,5,0
(T&W) HANCOCK,2010,6,0
(T&W) HANCOCK,2010,7,0
(T&W) HANCOCK,2010,8,0
(T&W) HANCOCK,2010,9,0
(T&W) HANCOCK,2010,10,0
(T&W) HANCOCK,2010,11,0
(T&W) HANCOCK,2010,12,0
(T&W) HANCOCK,2011,1,0
(T&W) HANCOCK,2011,2,0
(T&W) HANCOCK,2011,3,0
(T&W) HANCOCK,2011,4,0
(T&W) HANCOCK,2011,5,0
(T&W) HANCOCK,2011,6,0
(T&W) HANCOCK,2011,7,0
(T&W) HANCOCK,2011,8,0
(T&W) HANCOCK,2011,9,0
(T&W) HANCOCK,2011,10,0
(T&W) HANCOCK,2011,11,0
(T&W) HANCOCK,2011,12,0
(T&W) HANCOCK,2012,1,0
(T&W) HANCOCK,2012,2,0
(T&W) HANCOCK,2012,3,0
(T&W) HANCOCK,2012,4,0
(T&W) HANCOCK,2012,5,0
(T&W) HANCOCK,2012,6,0
(T&W) HANCOCK,2012,7,0
(T&W) HANCOCK,2012,8,0
(T&W) HANCOCK,2012,9,0
(T&W) HANCOCK,2012,10,0
(T&W) HANCOCK,2012,11,0
(T&W) HANCOCK,2012,12,0
(T&W) HANCOCK,2013,1,0
(T&W) HANCOCK,2013,2,0
(T&W) HANCOCK,2013,3,0
(T&W) HANCOCK,2013,4,0
(T&W) HANCOCK,2013,5,0
(T&W) HANCOCK,2013,6,0
(T&W) HANCOCK,2013,7,0
(T&W) HANCOCK,2013,8,0
(T&W) HANCOCK,2013,9,0
(T&W) HANCOCK,2013,10,0
(T&W) HANCOCK,2013,11,0
(T&W) HANCOCK,2013,12,0
(T&W) HANCOCK,2014,1,0
(T&W) HANCOCK,2014,2,0
(T&W) HANCOCK,2014,3,0
(T&W) HANCOCK,2014,4,0
(T&W) HANCOCK,2014,5,0
(T&W) HANCOCK,2014,6,0
(T&W) HANCOCK,2014,7,0
(T&W) HANCOCK,2014,8,0
(T&W) HANCOCK,2014,9,0
(T&W) HANCOCK,2014,10,0
(T&W) HANCOCK,2014,11,0
(T&W) HANCOCK,2014,12,0
(T&W) HANCOCK,2015,1,0
(T&W) HANCOCK,2015,2,0
(T&W) HANCOCK,2015,3,0
(T&W) HANCOCK,2015,4,0
(T&W) HANCOCK,2015,5,0
(T&W) HANCOCK,2015,6,0
(T&W) HANCOCK,2015,7,0
(T&W) HANCOCK,2015,8,0
(T&W) HANCOCK,2015,9,0
(T&W) HANCOCK,2015,10,0
(T&W) HANCOCK,2015,11,0
(T&W) HANCOCK,2015,12,0
(T&W) HANCOCK,2016,1,0
(T&W) HANCOCK,2016,2,0
(T&W) HANCOCK,2016,3,0
(T&W) HANCOCK,2016,4,0
(T&W) HANCOCK,2016,5,0
(T&W) HANCOCK,2016,6,0
(T&W) HANCOCK,2016,7,0
(T&W) HANCOCK,2016,8,0
(T&W) HANCOCK,2016,9,0
(T&W) HANCOCK,2016,10,0
(T&W) HANCOCK,2016,11,0
(T&W) HANCOCK,2016,12,0
(T&W) HANCOCK,2017,1,0
(T&W) HANCOCK,2017,2,0
(T&W) HANCOCK,2017,3,0
(T&W) HANCOCK,2017,4,0
(T&W) HANCOCK,2017,5,0
(T&W) HANCOCK,2017,6,0
(T&W) HANCOCK,2017,7,0
(T&W) HANCOCK,2017,8,0
(T&W) HANCOCK,2017,9,0
(T&W) HANCOCK,2017,10,0
(T&W) HANCOCK,2017,11,0
(T&W) HANCOCK,2017,12,0
(T&W) HANCOCK,2018,1,0
(T&W) HANCOCK,2018,2,0
(T&W) HANCOCK,2018,3,0
(T&W) GREAT NORTH MUSEUM,2004,4,0
(T&W) GREAT NORTH MUSEUM,2004,5,0
(T&W) GREAT NORTH MUSEUM,2004,6,0
(T&W) GREAT NORTH MUSEUM,2004,7,0
(T&W) GREAT NORTH MUSEUM,2004,8,0
(T&W) GREAT NORTH MUSEUM,2004,9,0
(T&W) GREAT NORTH MUSEUM,2004,10,0
(T&W) GREAT NORTH MUSEUM,2004,11,0
(T&W) GREAT NORTH MUSEUM,2004,12,0
(T&W) GREAT NORTH MUSEUM,2005,1,0
(T&W) GREAT NORTH MUSEUM,2005,2,0
(T&W) GREAT NORTH MUSEUM,2005,3,0
(T&W) GREAT NORTH MUSEUM,2005,4,0
(T&W) GREAT NORTH MUSEUM,2005,5,0
(T&W) GREAT NORTH MUSEUM,2005,6,0
(T&W) GREAT NORTH MUSEUM,2005,7,0
(T&W) GREAT NORTH MUSEUM,2005,8,0
(T&W) GREAT NORTH MUSEUM,2005,9,0
(T&W) GREAT NORTH MUSEUM,2005,10,0
(T&W) GREAT NORTH MUSEUM,2005,11,0
(T&W) GREAT NORTH MUSEUM,2005,12,0
(T&W) GREAT NORTH MUSEUM,2006,1,0
(T&W) GREAT NORTH MUSEUM,2006,2,0
(T&W) GREAT NORTH MUSEUM,2006,3,0
(T&W) GREAT NORTH MUSEUM,2006,4,0
(T&W) GREAT NORTH MUSEUM,2006,5,0
(T&W) GREAT NORTH MUSEUM,2006,6,0
(T&W) GREAT NORTH MUSEUM,2006,7,0
(T&W) GREAT NORTH MUSEUM,2006,8,0
(T&W) GREAT NORTH MUSEUM,2006,9,0
(T&W) GREAT NORTH MUSEUM,2006,10,0
(T&W) GREAT NORTH MUSEUM,2006,11,0
(T&W) GREAT NORTH MUSEUM,2006,12,0
(T&W) GREAT NORTH MUSEUM,2007,1,0
(T&W) GREAT NORTH MUSEUM,2007,2,0
(T&W) GREAT NORTH MUSEUM,2007,3,0
(T&W) GREAT NORTH MUSEUM,2007,4,0
(T&W) GREAT NORTH MUSEUM,2007,5,0
(T&W) GREAT NORTH MUSEUM,2007,6,0
(T&W) GREAT NORTH MUSEUM,2007,7,0
(T&W) GREAT NORTH MUSEUM,2007,8,0
(T&W) GREAT NORTH MUSEUM,2007,9,0
(T&W) GREAT NORTH MUSEUM,2007,10,0
(T&W) GREAT NORTH MUSEUM,2007,11,0
(T&W) GREAT NORTH MUSEUM,2007,12,0
(T&W) GREAT NORTH MUSEUM,2008,1,0
(T&W) GREAT NORTH MUSEUM,2008,2,0
(T&W) GREAT NORTH MUSEUM,2008,3,0
(T&W) GREAT NORTH MUSEUM,2008,4,0
(T&W) GREAT NORTH MUSEUM,2008,5,0
(T&W) GREAT NORTH MUSEUM,2008,6,0
(T&W) GREAT NORTH MUSEUM,2008,7,0
(T&W) GREAT NORTH MUSEUM,2008,8,0
(T&W) GREAT NORTH MUSEUM,2008,9,0
(T&W) GREAT NORTH MUSEUM,2008,10,0
(T&W) GREAT NORTH MUSEUM,2008,11,0
(T&W) GREAT NORTH MUSEUM,2008,12,0
(T&W) GREAT NORTH MUSEUM,2009,1,0
(T&W) GREAT NORTH MUSEUM,2009,2,0
(T&W) GREAT NORTH MUSEUM,2009,3,0
(T&W) GREAT NORTH MUSEUM,2009,4,0
(T&W) GREAT NORTH MUSEUM,2009,5,"63,568"
(T&W) GREAT NORTH MUSEUM,2009,6,"112,719"
(T&W) GREAT NORTH MUSEUM,2009,7,"120,960"
(T&W) GREAT NORTH MUSEUM,2009,8,"144,506"
(T&W) GREAT NORTH MUSEUM,2009,9,"59,101"
(T&W) GREAT NORTH MUSEUM,2009,10,"70,386"
(T&W) GREAT NORTH MUSEUM,2009,11,"41,605"
